0.0,0.0
0.05,0.05
0.1,0.1
0.15,0.149
0.2,0.199
0.25,0.247
0.3,0.296
0.35,0.343
0.4,0.389
0.45,0.435
0.5,0.479
0.55,0.523
0.6,0.565
0.65,0.605
0.7,0.644
0.75,0.682
0.8,0.717
0.85,0.751
0.9,0.783
0.95,0.813
1.0,0.841
1.05,0.867
1.1,0.891
1.15,0.913
1.2,0.932
1.25,0.949
1.3,0.964
1.35,0.976
1.4,0.985
1.45,0.993
1.5,0.997
1.55,1.0
1.6,1.0
1.65,0.997
1.7,0.992
1.75,0.984
1.8,0.974
1.85,0.961
1.9,0.946
1.95,0.929
2.0,0.909
2.05,0.887
2.1,0.863
2.15,0.837
2.2,0.808
2.25,0.778
2.3,0.746
2.35,0.711
2.4,0.675
2.45,0.638
2.5,0.598
2.55,0.558
2.6,0.516
2.65,0.472
2.7,0.427
2.75,0.382
2.8,0.335
2.85,0.287
2.9,0.239
2.95,0.19
3.0,0.141
3.05,0.091
3.1,0.042
3.15,-0.008
3.2,-0.058
3.25,-0.108
3.3,-0.158
3.35,-0.207
3.4,-0.256
3.45,-0.304
3.5,-0.351
3.55,-0.397
3.6,-0.443
3.65,-0.487
3.7,-0.53
3.75,-0.572
3.8,-0.612
3.85,-0.651
3.9,-0.688
3.95,-0.723
4.0,-0.757
4.05,-0.789
4.1,-0.818
4.15,-0.846
4.2,-0.872
4.25,-0.895
4.3,-0.916
4.35,-0.935
4.4,-0.952
4.45,-0.966
4.5,-0.978
4.55,-0.987
4.6,-0.994
4.65,-0.998
4.7,-1.0
4.75,-0.999
4.8,-0.996
4.85,-0.991
4.9,-0.982
4.95,-0.972
5.0,-0.959
